Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:40,-0.87°,103.17°,-13.17°,166.83°,--
05:45,0.50°,102.84°,-12.84°,167.16°,113.95841
05:50,1.55°,102.53°,-12.53°,167.47°,37.01153
05:55,2.64°,102.21°,-12.21°,167.79°,21.65752
06:00,3.77°,101.91°,-11.91°,168.09°,15.17693
06:05,4.91°,101.60°,-11.60°,168.40°,11.63101
06:10,6.07°,101.31°,-11.31°,168.69°,9.40050
06:15,7.24°,101.01°,-11.01°,168.99°,7.87418
06:20,8.41°,100.72°,-10.72°,169.28°,6.76469
06:25,9.58°,100.44°,-10.44°,169.56°,5.92207
06:30,10.76°,100.16°,-10.16°,169.84°,5.26033
06:35,11.95°,99.88°,-9.88°,170.12°,4.72675
06:40,13.13°,99.60°,-9.60°,170.40°,4.28720
06:45,14.32°,99.33°,-9.33°,170.67°,3.91864
06:50,15.50°,99.06°,-9.06°,170.94°,3.60498
06:55,16.69°,98.80°,-8.80°,171.20°,3.33462
07:00,17.88°,98.53°,-8.53°,171.47°,3.09903
07:05,19.08°,98.27°,-8.27°,171.73°,2.89174
07:10,20.27°,98.01°,-8.01°,171.99°,2.70782
07:15,21.46°,97.76°,-7.76°,172.24°,2.54340
07:20,22.66°,97.50°,-7.50°,172.50°,2.39542
07:25,23.85°,97.25°,-7.25°,172.75°,2.26143
07:30,25.05°,96.99°,-6.99°,173.01°,2.13944
07:35,26.25°,96.74°,-6.74°,173.26°,2.02781
07:40,27.45°,96.49°,-6.49°,173.51°,1.92521
07:45,28.65°,96.24°,-6.24°,173.76°,1.83050
07:50,29.85°,96.00°,-6.00°,174.00°,1.74273
07:55,31.05°,95.75°,-5.75°,174.25°,1.66110
08:00,32.25°,95.50°,-5.50°,174.50°,1.58492
08:05,33.45°,95.25°,-5.25°,174.75°,1.51362
08:10,34.65°,95.01°,-5.01°,174.99°,1.44667
