Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:10,0.02°,65.91°,24.09°,-155.91°,3711.44182
06:15,0.96°,65.59°,24.41°,-155.59°,59.86348
06:20,1.95°,65.26°,24.74°,-155.26°,29.32564
06:25,2.98°,64.92°,25.08°,-154.92°,19.19931
06:30,4.03°,64.57°,25.43°,-154.57°,14.20121
06:35,5.08°,64.21°,25.79°,-154.21°,11.23954
06:40,6.15°,63.84°,26.16°,-153.84°,9.28436
06:45,7.21°,63.46°,26.54°,-153.46°,7.90229
06:50,8.28°,63.06°,26.94°,-153.06°,6.87399
06:55,9.34°,62.66°,27.34°,-152.66°,6.07936
07:00,10.40°,62.24°,27.76°,-152.24°,5.44696
07:05,11.46°,61.81°,28.19°,-151.81°,4.93170
07:10,12.52°,61.37°,28.63°,-151.37°,4.50372
07:15,13.57°,60.92°,29.08°,-150.92°,4.14250
07:20,14.62°,60.45°,29.55°,-150.45°,3.83348
07:25,15.66°,59.97°,30.03°,-149.97°,3.56602
07:30,16.70°,59.47°,30.53°,-149.47°,3.33220
07:35,17.74°,58.96°,31.04°,-148.96°,3.12598
07:40,18.77°,58.43°,31.57°,-148.43°,2.94270
07:45,19.79°,57.89°,32.11°,-147.89°,2.77868
07:50,20.81°,57.33°,32.67°,-147.33°,2.63100
07:55,21.82°,56.76°,33.24°,-146.76°,2.49731
08:00,22.83°,56.16°,33.84°,-146.16°,2.37567
08:05,23.83°,55.55°,34.45°,-145.55°,2.26450
08:10,24.82°,54.92°,35.08°,-144.92°,2.16250
08:15,25.80°,54.27°,35.73°,-144.27°,2.06855
08:20,26.78°,53.60°,36.40°,-143.60°,1.98174
08:25,27.74°,52.90°,37.10°,-142.90°,1.90127
08:30,28.70°,52.19°,37.81°,-142.19°,1.82648
08:35,29.65°,51.45°,38.55°,-141.45°,1.75678
08:40,30.59°,50.69°,39.31°,-140.69°,1.69168
08:45,31.52°,49.91°,40.09°,-139.91°,1.63075
08:50,32.44°,49.10°,40.90°,-139.10°,1.57361
08:55,33.34°,48.26°,41.74°,-138.26°,1.51993
09:00,34.24°,47.40°,42.60°,-137.40°,1.46943
09:05,35.12°,46.51°,43.49°,-136.51°,1.42185
09:10,35.99°,45.59°,44.41°,-135.59°,1.37697
09:15,36.84°,44.64°,45.36°,-134.64°,1.33460
09:20,37.68°,43.66°,46.34°,-133.66°,1.29455
09:25,38.51°,42.65°,47.35°,-132.65°,1.25668
09:30,39.32°,41.61°,48.39°,-131.61°,1.22085
09:35,40.11°,40.53°,49.47°,-130.53°,1.18694
09:40,40.89°,39.42°,50.58°,-129.42°,1.15483
09:45,41.65°,38.28°,51.72°,-128.28°,1.12444
09:50,42.39°,37.10°,52.90°,-127.10°,1.09568
09:55,43.10°,35.88°,54.12°,-125.88°,1.06847
10:00,43.80°,34.63°,55.37°,-124.63°,1.04275
10:05,44.48°,33.33°,56.67°,-123.33°,1.01846
10:10,45.13°,32.00°,58.00°,-122.00°,0.99554
10:15,45.76°,30.64°,59.36°,-120.64°,0.97396
10:20,46.36°,29.23°,60.77°,-119.23°,0.95367
10:25,46.93°,27.79°,62.21°,-117.79°,0.93465
10:30,47.48°,26.30°,63.70°,-116.30°,0.91685
10:35,48.00°,24.78°,65.22°,-114.78°,0.90026
10:40,48.50°,23.23°,66.77°,-113.23°,0.88485
10:45,48.96°,21.63°,68.37°,-111.63°,0.87061
10:50,49.39°,20.01°,69.99°,-110.01°,0.85752
10:55,49.78°,18.35°,71.65°,-108.35°,0.84557
11:00,50.15°,16.66°,73.34°,-106.66°,0.83476
11:05,50.48°,14.94°,75.06°,-104.94°,0.82507
11:10,50.77°,13.19°,76.81°,-103.19°,0.81649
11:15,51.03°,11.42°,78.58°,-101.42°,0.80903
11:20,51.25°,9.62°,80.38°,-99.62°,0.80268
11:25,51.43°,7.81°,82.19°,-97.81°,0.79744
11:30,51.57°,5.98°,84.02°,-95.98°,0.79331
11:35,51.68°,4.14°,85.86°,-94.14°,0.79028
11:40,51.75°,2.30°,87.70°,-92.30°,0.78836
11:45,51.78°,0.44°,89.56°,-90.44°,0.78755
11:50,51.77°,-1.41°,91.41°,-88.59°,0.78784
11:55,51.72°,-3.26°,93.26°,-86.74°,0.78923
12:00,51.63°,-5.11°,95.11°,-84.89°,0.79173
12:05,51.50°,-6.94°,96.94°,-83.06°,0.79533
12:10,51.34°,-8.76°,98.76°,-81.24°,0.80004
12:15,51.14°,-10.56°,100.56°,-79.44°,0.80586
12:20,50.90°,-12.35°,102.35°,-77.65°,0.81279
12:25,50.62°,-14.11°,104.11°,-75.89°,0.82083
12:30,50.31°,-15.84°,105.84°,-74.16°,0.82999
12:35,49.96°,-17.54°,107.54°,-72.46°,0.84027
12:40,49.58°,-19.22°,109.22°,-70.78°,0.85167
12:45,49.17°,-20.86°,110.86°,-69.14°,0.86421
12:50,48.72°,-22.47°,112.47°,-67.53°,0.87790
12:55,48.24°,-24.04°,114.04°,-65.96°,0.89275
13:00,47.74°,-25.58°,115.58°,-64.42°,0.90877
13:05,47.20°,-27.08°,117.08°,-62.92°,0.92599
13:10,46.64°,-28.54°,118.54°,-61.46°,0.94443
13:15,46.05°,-29.97°,119.97°,-60.03°,0.96411
13:20,45.43°,-31.35°,121.35°,-58.65°,0.98507
13:25,44.79°,-32.70°,122.70°,-57.30°,1.00734
13:30,44.13°,-34.01°,124.01°,-55.99°,1.03097
13:35,43.44°,-35.29°,125.29°,-54.71°,1.05600
13:40,42.73°,-36.52°,126.52°,-53.48°,1.08249
13:45,42.00°,-37.72°,127.72°,-52.28°,1.11051
13:50,41.25°,-38.88°,128.88°,-51.12°,1.14011
13:55,40.49°,-40.01°,130.01°,-49.99°,1.17138
14:00,39.70°,-41.10°,131.10°,-48.90°,1.20442
14:05,38.90°,-42.16°,132.16°,-47.84°,1.23932
14:10,38.08°,-43.19°,133.19°,-46.81°,1.27620
14:15,37.25°,-44.18°,134.18°,-45.82°,1.31519
14:20,36.40°,-45.14°,135.14°,-44.86°,1.35643
14:25,35.54°,-46.08°,136.08°,-43.92°,1.40009
14:30,34.66°,-46.98°,136.98°,-43.02°,1.44635
14:35,33.77°,-47.86°,137.86°,-42.14°,1.49543
14:40,32.87°,-48.70°,138.70°,-41.30°,1.54755
14:45,31.96°,-49.53°,139.53°,-40.47°,1.60300
14:50,31.03°,-50.32°,140.32°,-39.68°,1.66208
14:55,30.10°,-51.09°,141.09°,-38.91°,1.72514
15:00,29.16°,-51.84°,141.84°,-38.16°,1.79258
15:05,28.20°,-52.57°,142.57°,-37.43°,1.86487
15:10,27.24°,-53.27°,143.27°,-36.73°,1.94255
15:15,26.27°,-53.95°,143.95°,-36.05°,2.02624
15:20,25.29°,-54.61°,144.61°,-35.39°,2.11667
15:25,24.30°,-55.25°,145.25°,-34.75°,2.21470
15:30,23.31°,-55.87°,145.87°,-34.13°,2.32134
15:35,22.30°,-56.47°,146.47°,-33.53°,2.43780
15:40,21.30°,-57.06°,147.06°,-32.94°,2.56552
15:45,20.28°,-57.63°,147.63°,-32.37°,2.70626
15:50,19.26°,-58.18°,148.18°,-31.82°,2.86214
15:55,18.23°,-58.71°,148.71°,-31.29°,3.03581
16:00,17.20°,-59.23°,149.23°,-30.77°,3.23056
16:05,16.16°,-59.73°,149.73°,-30.27°,3.45053
16:10,15.12°,-60.22°,150.22°,-29.78°,3.70107
16:15,14.07°,-60.70°,150.70°,-29.30°,3.98910
16:20,13.02°,-61.16°,151.16°,-28.84°,4.32385
16:25,11.97°,-61.60°,151.60°,-28.40°,4.71780
16:30,10.91°,-62.04°,152.04°,-27.96°,5.18832
16:35,9.85°,-62.46°,152.46°,-27.54°,5.76025
16:40,8.79°,-62.87°,152.87°,-27.13°,6.47045
16:45,7.72°,-63.27°,153.27°,-26.73°,7.37585
16:50,6.66°,-63.66°,153.66°,-26.34°,8.56940
16:55,5.59°,-64.03°,154.03°,-25.97°,10.21337
17:00,4.53°,-64.40°,154.40°,-25.60°,12.61747
17:05,3.48°,-64.75°,154.75°,-25.25°,16.44491
17:10,2.44°,-65.10°,155.10°,-24.90°,23.45458
17:15,1.43°,-65.43°,155.43°,-24.57°,40.12811
17:20,0.46°,-65.76°,155.76°,-24.24°,125.43679
