Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.95°,94.26°,-4.26°,175.74°,--
05:50,0.47°,93.94°,-3.94°,176.06°,122.23552
05:55,1.54°,93.62°,-3.62°,176.38°,37.29479
06:00,2.66°,93.31°,-3.31°,176.69°,21.55782
06:05,3.81°,92.99°,-2.99°,177.01°,15.03164
06:10,4.97°,92.67°,-2.67°,177.33°,11.48998
06:15,6.16°,92.36°,-2.36°,177.64°,9.27285
06:20,7.34°,92.04°,-2.04°,177.96°,7.76038
06:25,8.54°,91.73°,-1.73°,178.27°,6.66329
06:30,9.73°,91.41°,-1.41°,178.59°,5.83133
06:35,10.93°,91.10°,-1.10°,178.90°,5.17871
06:40,12.13°,90.78°,-0.78°,179.22°,4.65293
06:45,13.33°,90.46°,-0.46°,179.54°,4.22009
06:50,14.53°,90.15°,-0.15°,179.85°,3.85735
06:55,15.74°,89.83°,0.17°,-179.83°,3.54876
07:00,16.94°,89.50°,0.50°,-179.50°,3.28287
07:05,18.15°,89.18°,0.82°,-179.18°,3.05122
07:10,19.35°,88.85°,1.15°,-178.85°,2.84745
07:15,20.56°,88.52°,1.48°,-178.52°,2.66668
07:20,21.76°,88.19°,1.81°,-178.19°,2.50510
07:25,22.97°,87.85°,2.15°,-177.85°,2.35969
07:30,24.17°,87.51°,2.49°,-177.51°,2.22805
07:35,25.38°,87.16°,2.84°,-177.16°,2.10820
07:40,26.58°,86.81°,3.19°,-176.81°,1.99855
07:45,27.79°,86.46°,3.54°,-176.46°,1.89777
07:50,28.99°,86.09°,3.91°,-176.09°,1.80475
07:55,30.19°,85.72°,4.28°,-175.72°,1.71856
08:00,31.40°,85.35°,4.65°,-175.35°,1.63841
08:05,32.60°,84.96°,5.04°,-174.96°,1.56363
08:10,33.80°,84.57°,5.43°,-174.57°,1.49363
08:15,35.00°,84.17°,5.83°,-174.17°,1.42793
08:20,36.20°,83.76°,6.24°,-173.76°,1.36609
08:25,37.40°,83.34°,6.66°,-173.34°,1.30774
08:30,38.60°,82.90°,7.10°,-172.90°,1.25254
08:35,39.80°,82.46°,7.54°,-172.46°,1.20021
08:40,41.00°,82.00°,8.00°,-172.00°,1.15049
08:45,42.19°,81.53°,8.47°,-171.53°,1.10315
08:50,43.39°,81.04°,8.96°,-171.04°,1.05800
08:55,44.58°,80.53°,9.47°,-170.53°,1.01485
09:00,45.77°,80.00°,10.00°,-170.00°,0.97354
09:05,46.96°,79.46°,10.54°,-169.46°,0.93394
09:10,48.14°,78.89°,11.11°,-168.89°,0.89591
09:15,49.33°,78.30°,11.70°,-168.30°,0.85933
09:20,50.51°,77.68°,12.32°,-167.68°,0.82411
09:25,51.69°,77.03°,12.97°,-167.03°,0.79015
09:30,52.86°,76.35°,13.65°,-166.35°,0.75735
09:35,54.03°,75.64°,14.36°,-165.64°,0.72565
09:40,55.20°,74.88°,15.12°,-164.88°,0.69498
09:45,56.37°,74.09°,15.91°,-164.09°,0.66527
09:50,57.52°,73.25°,16.75°,-163.25°,0.63647
09:55,58.68°,72.35°,17.65°,-162.35°,0.60853
10:00,59.83°,71.40°,18.60°,-161.40°,0.58141
10:05,60.97°,70.38°,19.62°,-160.38°,0.55505
10:10,62.10°,69.30°,20.70°,-159.30°,0.52944
10:15,63.23°,68.13°,21.87°,-158.13°,0.50455
10:20,64.34°,66.87°,23.13°,-156.87°,0.48035
10:25,65.45°,65.51°,24.49°,-155.51°,0.45683
10:30,66.54°,64.03°,25.97°,-154.03°,0.43397
10:35,67.62°,62.42°,27.58°,-152.42°,0.41178
10:40,68.68°,60.67°,29.33°,-150.67°,0.39026
10:45,69.72°,58.74°,31.26°,-148.74°,0.36943
10:50,70.75°,56.63°,33.37°,-146.63°,0.34931
10:55,71.74°,54.29°,35.71°,-144.29°,0.32994
11:00,72.71°,51.70°,38.30°,-141.70°,0.31137
11:05,73.63°,48.83°,41.17°,-138.83°,0.29366
11:10,74.52°,45.63°,44.37°,-135.63°,0.27692
11:15,75.36°,42.08°,47.92°,-132.08°,0.26125
11:20,76.14°,38.12°,51.88°,-128.12°,0.24679
11:25,76.85°,33.72°,56.28°,-123.72°,0.23370
11:30,77.47°,28.87°,61.13°,-118.87°,0.22217
11:35,78.01°,23.56°,66.44°,-113.56°,0.21240
11:40,78.44°,17.82°,72.18°,-107.82°,0.20462
11:45,78.74°,11.71°,78.29°,-101.71°,0.19902
11:50,78.92°,5.34°,84.66°,-95.34°,0.19577
11:55,78.97°,-1.17°,91.17°,-88.83°,0.19497
12:00,78.87°,-7.64°,97.64°,-82.36°,0.19665
12:05,78.65°,-13.93°,103.93°,-76.07°,0.20076
12:10,78.30°,-19.92°,109.92°,-70.08°,0.20716
12:15,77.83°,-25.52°,115.52°,-64.48°,0.21568
12:20,77.26°,-30.66°,120.66°,-59.34°,0.22610
12:25,76.60°,-35.35°,125.35°,-54.65°,0.23821
12:30,75.87°,-39.58°,129.58°,-50.42°,0.25181
12:35,75.07°,-43.39°,133.39°,-46.61°,0.26673
12:40,74.21°,-46.82°,136.82°,-43.18°,0.28279
12:45,73.31°,-49.89°,139.89°,-40.11°,0.29989
12:50,72.36°,-52.66°,142.66°,-37.34°,0.31791
12:55,71.39°,-55.15°,145.15°,-34.85°,0.33678
13:00,70.38°,-57.41°,147.41°,-32.59°,0.35642
13:05,69.35°,-59.45°,149.45°,-30.55°,0.37680
13:10,68.30°,-61.32°,151.32°,-28.68°,0.39788
13:15,67.24°,-63.02°,153.02°,-26.98°,0.41964
13:20,66.15°,-64.57°,154.57°,-25.43°,0.44207
13:25,65.05°,-66.01°,156.01°,-23.99°,0.46516
13:30,63.94°,-67.33°,157.33°,-22.67°,0.48893
13:35,62.83°,-68.56°,158.56°,-21.44°,0.51337
13:40,61.70°,-69.69°,159.69°,-20.31°,0.53852
13:45,60.56°,-70.76°,160.76°,-19.24°,0.56439
13:50,59.42°,-71.75°,161.75°,-18.25°,0.59102
