Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:20,-0.36°,113.69°,-23.69°,156.31°,--
05:25,0.76°,113.37°,-23.37°,156.63°,75.29788
05:30,1.76°,113.06°,-23.06°,156.94°,32.58140
05:35,2.80°,112.75°,-22.75°,157.25°,20.46635
05:40,3.86°,112.46°,-22.46°,157.54°,14.81138
05:45,4.94°,112.17°,-22.17°,157.83°,11.55900
05:50,6.04°,111.90°,-21.90°,158.10°,9.45106
05:55,7.14°,111.63°,-21.63°,158.37°,7.97968
06:00,8.25°,111.36°,-21.36°,158.64°,6.89494
06:05,9.37°,111.11°,-21.11°,158.89°,6.06244
06:10,10.49°,110.87°,-20.87°,159.13°,5.40339
06:15,11.61°,110.63°,-20.63°,159.37°,4.86861
06:20,12.73°,110.40°,-20.40°,159.60°,4.42585
06:25,13.86°,110.18°,-20.18°,159.82°,4.05308
06:30,14.99°,109.96°,-19.96°,160.04°,3.73478
06:35,16.12°,109.76°,-19.76°,160.24°,3.45966
06:40,17.26°,109.56°,-19.56°,160.44°,3.21937
06:45,18.39°,109.37°,-19.37°,160.63°,3.00756
06:50,19.53°,109.18°,-19.18°,160.82°,2.81932
06:55,20.67°,109.01°,-19.01°,160.99°,2.65083
07:00,21.81°,108.84°,-18.84°,161.16°,2.49903
07:05,22.95°,108.68°,-18.68°,161.32°,2.36146
07:10,24.09°,108.53°,-18.53°,161.47°,2.23614
07:15,25.24°,108.38°,-18.38°,161.62°,2.12140
07:20,26.38°,108.25°,-18.25°,161.75°,2.01591
07:25,27.53°,108.12°,-18.12°,161.88°,1.91850
07:30,28.68°,108.00°,-18.00°,162.00°,1.82822
07:35,29.83°,107.88°,-17.88°,162.12°,1.74427
07:40,30.97°,107.78°,-17.78°,162.22°,1.66593
07:45,32.12°,107.69°,-17.69°,162.31°,1.59261
07:50,33.28°,107.60°,-17.60°,162.40°,1.52380
07:55,34.43°,107.53°,-17.53°,162.47°,1.45905
08:00,35.58°,107.46°,-17.46°,162.54°,1.39795
08:05,36.73°,107.40°,-17.40°,162.60°,1.34017
08:10,37.88°,107.36°,-17.36°,162.64°,1.28541
08:15,39.03°,107.32°,-17.32°,162.68°,1.23340
08:20,40.19°,107.30°,-17.30°,162.70°,1.18389
08:25,41.34°,107.29°,-17.29°,162.71°,1.13668
08:30,42.49°,107.29°,-17.29°,162.71°,1.09159
08:35,43.65°,107.31°,-17.31°,162.69°,1.04843
08:40,44.80°,107.34°,-17.34°,162.66°,1.00706
08:45,45.95°,107.38°,-17.38°,162.62°,0.96734
08:50,47.10°,107.44°,-17.44°,162.56°,0.92914
08:55,48.26°,107.52°,-17.52°,162.48°,0.89236
09:00,49.41°,107.62°,-17.62°,162.38°,0.85690
09:05,50.56°,107.74°,-17.74°,162.26°,0.82265
09:10,51.71°,107.87°,-17.87°,162.13°,0.78954
09:15,52.86°,108.03°,-18.03°,161.97°,0.75749
09:20,54.00°,108.22°,-18.22°,161.78°,0.72643
09:25,55.15°,108.43°,-18.43°,161.57°,0.69629
