Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,0.06°,69.28°,20.72°,-159.28°,973.91232
06:05,1.03°,68.96°,21.04°,-158.96°,55.73326
06:10,2.05°,68.63°,21.37°,-158.63°,27.89942
06:15,3.11°,68.29°,21.71°,-158.29°,18.40170
06:20,4.19°,67.94°,22.06°,-157.94°,13.66225
06:25,5.27°,67.59°,22.41°,-157.59°,10.83509
06:30,6.37°,67.22°,22.78°,-157.22°,8.96367
06:35,7.46°,66.84°,23.16°,-156.84°,7.63634
06:40,8.56°,66.46°,23.54°,-156.46°,6.64661
06:45,9.65°,66.06°,23.94°,-156.06°,5.88045
06:50,10.74°,65.65°,24.35°,-155.65°,5.26982
06:55,11.84°,65.23°,24.77°,-155.23°,4.77167
07:00,12.93°,64.80°,25.20°,-154.80°,4.35744
07:05,14.01°,64.36°,25.64°,-154.36°,4.00748
07:10,15.09°,63.90°,26.10°,-153.90°,3.70780
07:15,16.17°,63.43°,26.57°,-153.43°,3.44820
07:20,17.25°,62.95°,27.05°,-152.95°,3.22105
07:25,18.32°,62.45°,27.55°,-152.45°,3.02055
07:30,19.38°,61.94°,28.06°,-151.94°,2.84220
07:35,20.45°,61.41°,28.59°,-151.41°,2.68247
07:40,21.50°,60.87°,29.13°,-150.87°,2.53852
07:45,22.55°,60.31°,29.69°,-150.31°,2.40810
07:50,23.60°,59.73°,30.27°,-149.73°,2.28933
07:55,24.63°,59.14°,30.86°,-149.14°,2.18068
08:00,25.67°,58.52°,31.48°,-148.52°,2.08090
08:05,26.69°,57.89°,32.11°,-147.89°,1.98891
08:10,27.71°,57.24°,32.76°,-147.24°,1.90382
08:15,28.72°,56.56°,33.44°,-146.56°,1.82487
08:20,29.73°,55.87°,34.13°,-145.87°,1.75140
08:25,30.72°,55.15°,34.85°,-145.15°,1.68286
08:30,31.71°,54.41°,35.59°,-144.41°,1.61876
08:35,32.68°,53.64°,36.36°,-143.64°,1.55868
08:40,33.65°,52.85°,37.15°,-142.85°,1.50227
08:45,34.61°,52.03°,37.97°,-142.03°,1.44920
08:50,35.55°,51.18°,38.82°,-141.18°,1.39919
08:55,36.49°,50.31°,39.69°,-140.31°,1.35200
09:00,37.41°,49.40°,40.60°,-139.40°,1.30742
09:05,38.32°,48.46°,41.54°,-138.46°,1.26524
09:10,39.22°,47.49°,42.51°,-137.49°,1.22531
09:15,40.10°,46.49°,43.51°,-136.49°,1.18747
09:20,40.97°,45.45°,44.55°,-135.45°,1.15160
09:25,41.82°,44.38°,45.62°,-134.38°,1.11756
09:30,42.66°,43.27°,46.73°,-133.27°,1.08526
09:35,43.48°,42.12°,47.88°,-132.12°,1.05461
09:40,44.28°,40.93°,49.07°,-130.93°,1.02553
09:45,45.06°,39.70°,50.30°,-129.70°,0.99793
09:50,45.82°,38.43°,51.57°,-128.43°,0.97177
09:55,46.56°,37.11°,52.89°,-127.11°,0.94697
10:00,47.28°,35.75°,54.25°,-125.75°,0.92351
10:05,47.97°,34.35°,55.65°,-124.35°,0.90133
10:10,48.64°,32.90°,57.10°,-122.90°,0.88039
10:15,49.28°,31.40°,58.60°,-121.40°,0.86067
10:20,49.90°,29.86°,60.14°,-119.86°,0.84214
10:25,50.48°,28.28°,61.72°,-118.28°,0.82479
10:30,51.04°,26.64°,63.36°,-116.64°,0.80858
10:35,51.57°,24.97°,65.03°,-114.97°,0.79352
10:40,52.06°,23.24°,66.76°,-113.24°,0.77958
10:45,52.52°,21.48°,68.52°,-111.48°,0.76677
10:50,52.94°,19.67°,70.33°,-109.67°,0.75507
10:55,53.33°,17.83°,72.17°,-107.83°,0.74448
11:00,53.68°,15.94°,74.06°,-105.94°,0.73501
11:05,54.00°,14.03°,75.97°,-104.03°,0.72665
11:10,54.27°,12.08°,77.92°,-102.08°,0.71939
11:15,54.50°,10.10°,79.90°,-100.10°,0.71326
11:20,54.69°,8.11°,81.89°,-98.11°,0.70824
11:25,54.84°,6.09°,83.91°,-96.09°,0.70433
11:30,54.95°,4.06°,85.94°,-94.06°,0.70155
11:35,55.01°,2.02°,87.98°,-92.02°,0.69988
11:40,55.03°,-0.03°,90.03°,-89.97°,0.69934
11:45,55.01°,-2.08°,92.08°,-87.92°,0.69991
11:50,54.95°,-4.12°,94.12°,-85.88°,0.70161
11:55,54.84°,-6.15°,96.15°,-83.85°,0.70443
12:00,54.69°,-8.17°,98.17°,-81.83°,0.70837
12:05,54.49°,-10.16°,100.16°,-79.84°,0.71342
12:10,54.26°,-12.14°,102.14°,-77.86°,0.71960
12:15,53.99°,-14.08°,104.08°,-75.92°,0.72688
12:20,53.67°,-16.00°,106.00°,-74.00°,0.73528
12:25,53.32°,-17.88°,107.88°,-72.12°,0.74478
12:30,52.93°,-19.73°,109.73°,-70.27°,0.75540
12:35,52.51°,-21.53°,111.53°,-68.47°,0.76713
12:40,52.05°,-23.30°,113.30°,-66.70°,0.77998
12:45,51.55°,-25.02°,115.02°,-64.98°,0.79395
12:50,51.03°,-26.69°,116.69°,-63.31°,0.80905
12:55,50.47°,-28.32°,118.32°,-61.68°,0.82529
13:00,49.88°,-29.91°,119.91°,-60.09°,0.84268
13:05,49.26°,-31.45°,121.45°,-58.55°,0.86124
13:10,48.62°,-32.94°,122.94°,-57.06°,0.88100
13:15,47.95°,-34.39°,124.39°,-55.61°,0.90197
13:20,47.26°,-35.79°,125.79°,-54.21°,0.92419
13:25,46.54°,-37.15°,127.15°,-52.85°,0.94770
13:30,45.80°,-38.46°,128.46°,-51.54°,0.97253
13:35,45.04°,-39.74°,129.74°,-50.26°,0.99874
13:40,44.25°,-40.96°,130.96°,-49.04°,1.02637
13:45,43.45°,-42.15°,132.15°,-47.85°,1.05551
13:50,42.63°,-43.30°,133.30°,-46.70°,1.08621
13:55,41.80°,-44.41°,134.41°,-45.59°,1.11855
14:00,40.94°,-45.48°,135.48°,-44.52°,1.15264
14:05,40.08°,-46.52°,136.52°,-43.48°,1.18858
14:10,39.19°,-47.52°,137.52°,-42.48°,1.22648
14:15,38.29°,-48.49°,138.49°,-41.51°,1.26647
14:20,37.38°,-49.43°,139.43°,-40.57°,1.30872
14:25,36.46°,-50.33°,140.33°,-39.67°,1.35338
14:30,35.53°,-51.21°,141.21°,-38.79°,1.40065
14:35,34.58°,-52.05°,142.05°,-37.95°,1.45074
14:40,33.62°,-52.87°,142.87°,-37.13°,1.50391
14:45,32.65°,-53.66°,143.66°,-36.34°,1.56043
14:50,31.68°,-54.43°,144.43°,-35.57°,1.62062
14:55,30.69°,-55.17°,145.17°,-34.83°,1.68484
15:00,29.70°,-55.89°,145.89°,-34.11°,1.75352
15:05,28.69°,-56.58°,146.58°,-33.42°,1.82715
15:10,27.68°,-57.26°,147.26°,-32.74°,1.90628
15:15,26.66°,-57.91°,147.91°,-32.09°,1.99156
15:20,25.64°,-58.54°,148.54°,-31.46°,2.08377
15:25,24.60°,-59.15°,149.15°,-30.85°,2.18380
15:30,23.56°,-59.75°,149.75°,-30.25°,2.29273
15:35,22.52°,-60.32°,150.32°,-29.68°,2.41182
15:40,21.47°,-60.88°,150.88°,-29.12°,2.54263
15:45,20.41°,-61.43°,151.43°,-28.57°,2.68701
15:50,19.35°,-61.95°,151.95°,-28.05°,2.84726
15:55,18.29°,-62.46°,152.46°,-27.54°,3.02621
16:00,17.22°,-62.96°,152.96°,-27.04°,3.22744
16:05,16.14°,-63.44°,153.44°,-26.56°,3.45547
16:10,15.06°,-63.91°,153.91°,-26.09°,3.71615
16:15,13.98°,-64.37°,154.37°,-25.63°,4.01717
16:20,12.89°,-64.81°,154.81°,-25.19°,4.36883
16:25,11.80°,-65.24°,155.24°,-24.76°,4.78524
16:30,10.71°,-65.66°,155.66°,-24.34°,5.28629
16:35,9.62°,-66.07°,156.07°,-23.93°,5.90086
16:40,8.52°,-66.47°,156.47°,-23.53°,6.67257
16:45,7.43°,-66.85°,156.85°,-23.15°,7.67044
16:50,6.33°,-67.23°,157.23°,-22.77°,9.01042
16:55,5.24°,-67.60°,157.60°,-22.40°,10.90298
17:00,4.15°,-67.95°,157.95°,-22.05°,13.76912
17:05,3.08°,-68.30°,158.30°,-21.70°,18.59325
17:10,2.02°,-68.64°,158.64°,-21.36°,28.33113
17:15,1.00°,-68.97°,158.97°,-21.03°,57.40655
