Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:50,0.09°,87.53°,2.47°,-177.53°,619.12319
05:55,1.13°,87.21°,2.79°,-177.21°,50.52588
06:00,2.24°,86.89°,3.11°,-176.89°,25.58657
06:05,3.38°,86.57°,3.43°,-176.57°,16.93593
06:10,4.54°,86.24°,3.76°,-176.24°,12.59197
06:15,5.72°,85.92°,4.08°,-175.92°,9.99007
06:20,6.90°,85.59°,4.41°,-175.59°,8.26448
06:25,8.09°,85.25°,4.75°,-175.25°,7.03788
06:30,9.28°,84.92°,5.08°,-174.92°,6.12157
06:35,10.47°,84.58°,5.42°,-174.58°,5.41107
06:40,11.66°,84.24°,5.76°,-174.24°,4.84391
06:45,12.86°,83.89°,6.11°,-173.89°,4.38052
06:50,14.05°,83.54°,6.46°,-173.54°,3.99462
06:55,15.25°,83.18°,6.82°,-173.18°,3.66807
07:00,16.44°,82.82°,7.18°,-172.82°,3.38800
07:05,17.64°,82.45°,7.55°,-172.45°,3.14497
07:10,18.83°,82.08°,7.92°,-172.08°,2.93195
07:15,20.03°,81.70°,8.30°,-171.70°,2.74358
07:20,21.22°,81.31°,8.69°,-171.31°,2.57568
07:25,22.41°,80.91°,9.09°,-170.91°,2.42499
07:30,23.60°,80.51°,9.49°,-170.51°,2.28888
07:35,24.79°,80.10°,9.90°,-170.10°,2.16526
07:40,25.98°,79.68°,10.32°,-169.68°,2.05239
07:45,27.16°,79.25°,10.75°,-169.25°,1.94886
07:50,28.35°,78.81°,11.19°,-168.81°,1.85348
07:55,29.53°,78.36°,11.64°,-168.36°,1.76526
08:00,30.71°,77.89°,12.11°,-167.89°,1.68338
08:05,31.89°,77.41°,12.59°,-167.41°,1.60711
08:10,33.07°,76.92°,13.08°,-166.92°,1.53586
08:15,34.24°,76.42°,13.58°,-166.42°,1.46909
08:20,35.42°,75.90°,14.10°,-165.90°,1.40635
08:25,36.58°,75.36°,14.64°,-165.36°,1.34725
08:30,37.75°,74.80°,15.20°,-164.80°,1.29145
08:35,38.91°,74.23°,15.77°,-164.23°,1.23865
08:40,40.08°,73.63°,16.37°,-163.63°,1.18858
08:45,41.23°,73.01°,16.99°,-163.01°,1.14101
08:50,42.38°,72.37°,17.63°,-162.37°,1.09572
08:55,43.53°,71.71°,18.29°,-161.71°,1.05254
09:00,44.68°,71.01°,18.99°,-161.01°,1.01131
09:05,45.82°,70.29°,19.71°,-160.29°,0.97187
09:10,46.95°,69.53°,20.47°,-159.53°,0.93410
09:15,48.08°,68.74°,21.26°,-158.74°,0.89788
09:20,49.20°,67.92°,22.08°,-157.92°,0.86311
09:25,50.32°,67.05°,22.95°,-157.05°,0.82969
09:30,51.43°,66.14°,23.86°,-156.14°,0.79754
09:35,52.53°,65.18°,24.82°,-155.18°,0.76658
09:40,53.62°,64.17°,25.83°,-154.17°,0.73676
