Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.99°,93.87°,-3.87°,176.13°,--
05:50,0.44°,93.55°,-3.55°,176.45°,130.33402
05:55,1.51°,93.23°,-3.23°,176.77°,38.05206
06:00,2.62°,92.91°,-2.91°,177.09°,21.81452
06:05,3.77°,92.59°,-2.59°,177.41°,15.15706
06:10,4.94°,92.27°,-2.27°,177.73°,11.56339
06:15,6.12°,91.96°,-1.96°,178.04°,9.32066
06:20,7.31°,91.64°,-1.64°,178.36°,7.79385
06:25,8.50°,91.33°,-1.33°,178.67°,6.68797
06:30,9.70°,91.01°,-1.01°,178.99°,5.85028
06:35,10.90°,90.69°,-0.69°,179.31°,5.19371
06:40,12.10°,90.38°,-0.38°,179.62°,4.66511
06:45,13.30°,90.06°,-0.06°,179.94°,4.23019
06:50,14.50°,89.74°,0.26°,-179.74°,3.86588
06:55,15.71°,89.41°,0.59°,-179.41°,3.55608
07:00,16.91°,89.09°,0.91°,-179.09°,3.28923
07:05,18.11°,88.76°,1.24°,-178.76°,3.05681
07:10,19.32°,88.43°,1.57°,-178.43°,2.85242
07:15,20.52°,88.10°,1.90°,-178.10°,2.67114
07:20,21.73°,87.76°,2.24°,-177.76°,2.50913
07:25,22.93°,87.42°,2.58°,-177.42°,2.36338
07:30,24.14°,87.07°,2.93°,-177.07°,2.23143
07:35,25.34°,86.72°,3.28°,-176.72°,2.11134
07:40,26.55°,86.37°,3.63°,-176.37°,2.00148
07:45,27.75°,86.01°,3.99°,-176.01°,1.90051
07:50,28.96°,85.64°,4.36°,-175.64°,1.80734
07:55,30.16°,85.26°,4.74°,-175.26°,1.72101
08:00,31.36°,84.88°,5.12°,-174.88°,1.64075
08:05,32.56°,84.49°,5.51°,-174.49°,1.56586
08:10,33.76°,84.09°,5.91°,-174.09°,1.49579
08:15,34.96°,83.69°,6.31°,-173.69°,1.43001
08:20,36.16°,83.27°,6.73°,-173.27°,1.36811
08:25,37.36°,82.84°,7.16°,-172.84°,1.30970
08:30,38.56°,82.40°,7.60°,-172.40°,1.25446
08:35,39.76°,81.94°,8.06°,-171.94°,1.20209
08:40,40.95°,81.48°,8.52°,-171.48°,1.15234
08:45,42.14°,80.99°,9.01°,-170.99°,1.10499
08:50,43.34°,80.49°,9.51°,-170.49°,1.05982
08:55,44.53°,79.97°,10.03°,-169.97°,1.01666
09:00,45.71°,79.44°,10.56°,-169.44°,0.97535
09:05,46.90°,78.88°,11.12°,-168.88°,0.93575
09:10,48.08°,78.30°,11.70°,-168.30°,0.89773
09:15,49.27°,77.69°,12.31°,-167.69°,0.86117
09:20,50.44°,77.06°,12.94°,-167.06°,0.82596
09:25,51.62°,76.40°,13.60°,-166.40°,0.79202
09:30,52.79°,75.70°,14.30°,-165.70°,0.75926
09:35,53.96°,74.97°,15.03°,-164.97°,0.72759
09:40,55.13°,74.20°,15.80°,-164.20°,0.69696
09:45,56.28°,73.38°,16.62°,-163.38°,0.66730
09:50,57.44°,72.52°,17.48°,-162.52°,0.63855
09:55,58.59°,71.61°,18.39°,-161.61°,0.61067
10:00,59.73°,70.63°,19.37°,-160.63°,0.58361
10:05,60.87°,69.59°,20.41°,-159.59°,0.55734
10:10,62.00°,68.48°,21.52°,-158.48°,0.53181
10:15,63.11°,67.28°,22.72°,-157.28°,0.50701
10:20,64.22°,65.99°,24.01°,-155.99°,0.48292
10:25,65.32°,64.60°,25.40°,-154.60°,0.45951
10:30,66.40°,63.09°,26.91°,-153.09°,0.43679
10:35,67.47°,61.45°,28.55°,-151.45°,0.41474
10:40,68.53°,59.66°,30.34°,-149.66°,0.39338
10:45,69.56°,57.70°,32.30°,-147.70°,0.37273
10:50,70.57°,55.55°,34.45°,-145.55°,0.35280
10:55,71.55°,53.18°,36.82°,-143.18°,0.33365
11:00,72.50°,50.56°,39.44°,-140.56°,0.31531
11:05,73.41°,47.66°,42.34°,-137.66°,0.29787
11:10,74.28°,44.44°,45.56°,-134.44°,0.28141
11:15,75.10°,40.88°,49.12°,-130.88°,0.26605
11:20,75.86°,36.93°,53.07°,-126.93°,0.25191
11:25,76.55°,32.56°,57.44°,-122.56°,0.23917
11:30,77.16°,27.77°,62.23°,-117.77°,0.22798
11:35,77.67°,22.55°,67.45°,-112.55°,0.21856
11:40,78.08°,16.94°,73.06°,-106.94°,0.21110
11:45,78.37°,10.99°,79.01°,-100.99°,0.20579
11:50,78.54°,4.81°,85.19°,-94.81°,0.20277
11:55,78.57°,-1.47°,91.47°,-88.53°,0.20213
12:00,78.48°,-7.73°,97.73°,-82.27°,0.20389
12:05,78.25°,-13.81°,103.81°,-76.19°,0.20800
12:10,77.90°,-19.62°,109.62°,-70.38°,0.21434
12:15,77.44°,-25.05°,115.05°,-64.95°,0.22274
12:20,76.88°,-30.07°,120.07°,-59.93°,0.23302
12:25,76.24°,-34.66°,124.66°,-55.34°,0.24495
12:30,75.51°,-38.83°,128.83°,-51.17°,0.25837
12:35,74.72°,-42.60°,132.60°,-47.40°,0.27310
12:40,73.88°,-45.99°,135.99°,-44.01°,0.28900
12:45,72.99°,-49.06°,139.06°,-40.94°,0.30593
12:50,72.06°,-51.82°,141.82°,-38.18°,0.32379
12:55,71.09°,-54.32°,144.32°,-35.68°,0.34252
13:00,70.10°,-56.58°,146.58°,-33.42°,0.36204
13:05,69.08°,-58.64°,148.64°,-31.36°,0.38232
13:10,68.04°,-60.52°,150.52°,-29.48°,0.40330
13:15,66.98°,-62.24°,152.24°,-27.76°,0.42499
13:20,65.90°,-63.81°,153.81°,-26.19°,0.44735
13:25,64.81°,-65.27°,155.27°,-24.73°,0.47039
13:30,63.71°,-66.61°,156.61°,-23.39°,0.49412
13:35,62.59°,-67.85°,157.85°,-22.15°,0.51854
13:40,61.47°,-69.01°,159.01°,-20.99°,0.54368
13:45,60.34°,-70.09°,160.09°,-19.91°,0.56955
13:50,59.20°,-71.10°,161.10°,-18.90°,0.59619
13:55,58.05°,-72.04°,162.04°,-17.96°,0.62363
14:00,56.90°,-72.93°,162.93°,-17.07°,0.65191
14:05,55.74°,-73.77°,163.77°,-16.23°,0.68108
14:10,54.58°,-74.56°,164.56°,-15.44°,0.71119
14:15,53.41°,-75.32°,165.32°,-14.68°,0.74229
14:20,52.24°,-76.03°,166.03°,-13.97°,0.77446
14:25,51.07°,-76.71°,166.71°,-13.29°,0.80777
14:30,49.89°,-77.36°,167.36°,-12.64°,0.84229
14:35,48.71°,-77.98°,167.98°,-12.02°,0.87812
14:40,47.53°,-78.57°,168.57°,-11.43°,0.91535
14:45,46.35°,-79.14°,169.14°,-10.86°,0.95410
14:50,45.16°,-79.69°,169.69°,-10.31°,0.99448
14:55,43.97°,-80.22°,170.22°,-9.78°,1.03664
15:00,42.78°,-80.73°,170.73°,-9.27°,1.08072
15:05,41.59°,-81.22°,171.22°,-8.78°,1.12689
15:10,40.39°,-81.70°,171.70°,-8.30°,1.17534
15:15,39.20°,-82.16°,172.16°,-7.84°,1.22629
15:20,38.00°,-82.61°,172.61°,-7.39°,1.27997
15:25,36.80°,-83.04°,173.04°,-6.96°,1.33665
15:30,35.60°,-83.47°,173.47°,-6.53°,1.39665
15:35,34.40°,-83.88°,173.88°,-6.12°,1.46032
15:40,33.20°,-84.28°,174.28°,-5.72°,1.52805
15:45,32.00°,-84.68°,174.68°,-5.32°,1.60031
15:50,30.80°,-85.06°,175.06°,-4.94°,1.67764
15:55,29.60°,-85.44°,175.44°,-4.56°,1.76065
16:00,28.39°,-85.81°,175.81°,-4.19°,1.85008
16:05,27.19°,-86.18°,176.18°,-3.82°,1.94678
16:10,25.98°,-86.54°,176.54°,-3.46°,2.05176
16:15,24.78°,-86.89°,176.89°,-3.11°,2.16623
16:20,23.57°,-87.24°,177.24°,-2.76°,2.29166
16:25,22.37°,-87.58°,177.58°,-2.42°,2.42980
16:30,21.16°,-87.92°,177.92°,-2.08°,2.58283
16:35,19.96°,-88.25°,178.25°,-1.75°,2.75345
16:40,18.76°,-88.59°,178.59°,-1.41°,2.94502
16:45,17.55°,-88.91°,178.91°,-1.09°,3.16185
16:50,16.35°,-89.24°,179.24°,-0.76°,3.40949
16:55,15.14°,-89.56°,179.56°,-0.44°,3.69524
17:00,13.94°,-89.89°,179.89°,-0.11°,4.02891
17:05,12.74°,-90.21°,-179.79°,0.21°,4.42394
17:10,11.54°,-90.52°,-179.48°,0.52°,4.89932
17:15,10.34°,-90.84°,-179.16°,0.84°,5.48268
17:20,9.14°,-91.16°,-178.84°,1.16°,6.21589
17:25,7.94°,-91.47°,-178.53°,1.47°,7.16542
17:30,6.75°,-91.79°,-178.21°,1.79°,8.44345
17:35,5.57°,-92.11°,-177.89°,2.11°,10.25485
17:40,4.39°,-92.42°,-177.58°,2.42°,13.01498
17:45,3.23°,-92.74°,-177.26°,2.74°,17.70250
17:50,2.10°,-93.06°,-176.94°,3.06°,27.33219
17:55,1.00°,-93.38°,-176.62°,3.38°,57.42348
