Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:50,0.03°,86.34°,3.66°,-176.34°,1710.23582
05:55,1.07°,86.02°,3.98°,-176.02°,53.60421
06:00,2.17°,85.70°,4.30°,-175.70°,26.40773
06:05,3.31°,85.37°,4.63°,-175.37°,17.31003
06:10,4.46°,85.05°,4.95°,-175.05°,12.80630
06:15,5.64°,84.72°,5.28°,-174.72°,10.12989
06:20,6.82°,84.39°,5.61°,-174.39°,8.36350
06:25,8.00°,84.05°,5.95°,-174.05°,7.11226
06:30,9.19°,83.71°,6.29°,-173.71°,6.17993
06:35,10.38°,83.37°,6.63°,-173.37°,5.45842
06:40,11.57°,83.02°,6.98°,-173.02°,4.88338
06:45,12.76°,82.67°,7.33°,-172.67°,4.41415
06:50,13.96°,82.31°,7.69°,-172.31°,4.02379
06:55,15.15°,81.95°,8.05°,-171.95°,3.69378
07:00,16.34°,81.58°,8.42°,-171.58°,3.41095
07:05,17.53°,81.20°,8.80°,-171.20°,3.16570
07:10,18.72°,80.82°,9.18°,-170.82°,2.95087
07:15,19.91°,80.43°,9.57°,-170.43°,2.76099
07:20,21.10°,80.04°,9.96°,-170.04°,2.59184
07:25,22.28°,79.63°,10.37°,-169.63°,2.44009
07:30,23.47°,79.22°,10.78°,-169.22°,2.30309
07:35,24.65°,78.79°,11.21°,-168.79°,2.17870
07:40,25.84°,78.36°,11.64°,-168.36°,2.06518
07:45,27.02°,77.92°,12.08°,-167.92°,1.96109
07:50,28.20°,77.46°,12.54°,-167.46°,1.86523
07:55,29.37°,77.00°,13.00°,-167.00°,1.77660
08:00,30.55°,76.52°,13.48°,-166.52°,1.69436
08:05,31.72°,76.02°,13.98°,-166.02°,1.61779
08:10,32.89°,75.52°,14.48°,-165.52°,1.54627
08:15,34.06°,74.99°,15.01°,-164.99°,1.47928
08:20,35.22°,74.45°,15.55°,-164.45°,1.41636
08:25,36.39°,73.89°,16.11°,-163.89°,1.35711
08:30,37.54°,73.32°,16.68°,-163.32°,1.30119
08:35,38.70°,72.72°,17.28°,-162.72°,1.24829
08:40,39.85°,72.10°,17.90°,-162.10°,1.19815
08:45,41.00°,71.46°,18.54°,-161.46°,1.15053
08:50,42.14°,70.79°,19.21°,-160.79°,1.10522
08:55,43.28°,70.10°,19.90°,-160.10°,1.06204
09:00,44.41°,69.38°,20.62°,-159.38°,1.02083
09:05,45.54°,68.63°,21.37°,-158.63°,0.98143
09:10,46.66°,67.84°,22.16°,-157.84°,0.94372
09:15,47.77°,67.02°,22.98°,-157.02°,0.90758
09:20,48.88°,66.16°,23.84°,-156.16°,0.87291
09:25,49.98°,65.26°,24.74°,-155.26°,0.83961
09:30,51.08°,64.32°,25.68°,-154.32°,0.80760
09:35,52.16°,63.32°,26.68°,-153.32°,0.77682
09:40,53.23°,62.28°,27.72°,-152.28°,0.74718
09:45,54.30°,61.18°,28.82°,-151.18°,0.71864
09:50,55.35°,60.01°,29.99°,-150.01°,0.69115
09:55,56.39°,58.79°,31.21°,-148.79°,0.66467
10:00,57.42°,57.49°,32.51°,-147.49°,0.63915
10:05,58.43°,56.11°,33.89°,-146.11°,0.61458
10:10,59.42°,54.66°,35.34°,-144.66°,0.59093
10:15,60.40°,53.11°,36.89°,-143.11°,0.56818
10:20,61.35°,51.46°,38.54°,-141.46°,0.54632
10:25,62.28°,49.71°,40.29°,-139.71°,0.52536
10:30,63.19°,47.84°,42.16°,-137.84°,0.50529
10:35,64.07°,45.86°,44.14°,-135.86°,0.48613
10:40,64.93°,43.74°,46.26°,-133.74°,0.46789
10:45,65.74°,41.48°,48.52°,-131.48°,0.45060
10:50,66.52°,39.08°,50.92°,-129.08°,0.43430
10:55,67.27°,36.52°,53.48°,-126.52°,0.41903
