Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.45°,97.78°,-7.78°,172.22°,--
05:50,0.79°,97.46°,-7.46°,172.54°,72.84318
05:55,1.87°,97.14°,-7.14°,172.86°,30.69361
06:00,2.99°,96.82°,-6.82°,173.18°,19.14253
06:05,4.14°,96.51°,-6.51°,173.49°,13.81407
06:10,5.31°,96.20°,-6.20°,173.80°,10.76503
06:15,6.48°,95.90°,-5.90°,174.10°,8.79804
06:20,7.67°,95.59°,-5.59°,174.41°,7.42700
06:25,8.86°,95.29°,-5.29°,174.71°,6.41734
06:30,10.05°,94.98°,-4.98°,175.02°,5.64293
06:35,11.24°,94.68°,-4.68°,175.32°,5.03005
06:40,12.44°,94.38°,-4.38°,175.62°,4.53276
06:45,13.64°,94.08°,-4.08°,175.92°,4.12098
06:50,14.84°,93.78°,-3.78°,176.22°,3.77421
06:55,16.04°,93.48°,-3.48°,176.52°,3.47798
07:00,17.24°,93.18°,-3.18°,176.82°,3.22184
07:05,18.45°,92.89°,-2.89°,177.11°,2.99799
07:10,19.65°,92.58°,-2.58°,177.42°,2.80054
07:15,20.85°,92.28°,-2.28°,177.72°,2.62496
07:20,22.06°,91.98°,-1.98°,178.02°,2.46768
07:25,23.27°,91.68°,-1.68°,178.32°,2.32587
07:30,24.47°,91.37°,-1.37°,178.63°,2.19725
07:35,25.68°,91.06°,-1.06°,178.94°,2.07997
07:40,26.88°,90.75°,-0.75°,179.25°,1.97251
07:45,28.09°,90.44°,-0.44°,179.56°,1.87361
07:50,29.30°,90.12°,-0.12°,179.88°,1.78220
07:55,30.50°,89.80°,0.20°,-179.80°,1.69740
08:00,31.71°,89.48°,0.52°,-179.48°,1.61845
08:05,32.92°,89.15°,0.85°,-179.15°,1.54470
08:10,34.12°,88.81°,1.19°,-178.81°,1.47561
08:15,35.33°,88.47°,1.53°,-178.47°,1.41068
08:20,36.54°,88.13°,1.87°,-178.13°,1.34952
08:25,37.75°,87.77°,2.23°,-177.77°,1.29174
08:30,38.95°,87.41°,2.59°,-177.41°,1.23703
08:35,40.16°,87.04°,2.96°,-177.04°,1.18511
08:40,41.36°,86.67°,3.33°,-176.67°,1.13574
08:45,42.57°,86.28°,3.72°,-176.28°,1.08869
08:50,43.77°,85.88°,4.12°,-175.88°,1.04376
08:55,44.98°,85.47°,4.53°,-175.47°,1.00078
09:00,46.18°,85.05°,4.95°,-175.05°,0.95960
09:05,47.38°,84.62°,5.38°,-174.62°,0.92007
09:10,48.59°,84.16°,5.84°,-174.16°,0.88206
09:15,49.79°,83.70°,6.30°,-173.70°,0.84546
09:20,50.99°,83.21°,6.79°,-173.21°,0.81017
09:25,52.19°,82.70°,7.30°,-172.70°,0.77610
09:30,53.38°,82.17°,7.83°,-172.17°,0.74314
09:35,54.58°,81.62°,8.38°,-171.62°,0.71124
09:40,55.77°,81.04°,8.96°,-171.04°,0.68031
09:45,56.96°,80.42°,9.58°,-170.42°,0.65030
09:50,58.15°,79.78°,10.22°,-169.78°,0.62114
09:55,59.34°,79.09°,10.91°,-169.09°,0.59278
10:00,60.53°,78.36°,11.64°,-168.36°,0.56518
10:05,61.71°,77.59°,12.41°,-167.59°,0.53828
10:10,62.89°,76.76°,13.24°,-166.76°,0.51206
10:15,64.06°,75.86°,14.14°,-165.86°,0.48647
10:20,65.23°,74.90°,15.10°,-164.90°,0.46149
10:25,66.39°,73.86°,16.14°,-163.86°,0.43708
10:30,67.55°,72.72°,17.28°,-162.72°,0.41324
10:35,68.70°,71.47°,18.53°,-161.47°,0.38994
10:40,69.84°,70.10°,19.90°,-160.10°,0.36718
10:45,70.97°,68.59°,21.41°,-158.59°,0.34495
10:50,72.09°,66.90°,23.10°,-156.90°,0.32326
