Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:55,-0.89°,71.09°,18.91°,-161.09°,--
06:00,0.46°,70.77°,19.23°,-160.77°,125.05846
06:05,1.46°,70.45°,19.55°,-160.45°,39.10789
06:10,2.52°,70.11°,19.89°,-160.11°,22.74447
06:15,3.60°,69.77°,20.23°,-159.77°,15.91063
06:20,4.69°,69.42°,20.58°,-159.42°,12.19059
06:25,5.79°,69.07°,20.93°,-159.07°,9.85770
06:30,6.90°,68.70°,21.30°,-158.70°,8.26443
06:35,8.01°,68.32°,21.68°,-158.32°,7.10833
06:40,9.12°,67.93°,22.07°,-157.93°,6.23158
06:45,10.22°,67.54°,22.46°,-157.54°,5.54396
06:50,11.33°,67.13°,22.87°,-157.13°,4.99020
06:55,12.44°,66.71°,23.29°,-156.71°,4.53457
07:00,13.54°,66.28°,23.72°,-156.28°,4.15301
07:05,14.64°,65.84°,24.16°,-155.84°,3.82870
07:10,15.73°,65.38°,24.62°,-155.38°,3.54954
07:15,16.83°,64.91°,25.09°,-154.91°,3.30662
07:20,17.92°,64.43°,25.57°,-154.43°,3.09322
07:25,19.00°,63.94°,26.06°,-153.94°,2.90419
07:30,20.08°,63.43°,26.57°,-153.43°,2.73551
07:35,21.16°,62.90°,27.10°,-152.90°,2.58400
07:40,22.23°,62.36°,27.64°,-152.36°,2.44710
07:45,23.29°,61.80°,28.20°,-151.80°,2.32276
07:50,24.35°,61.23°,28.77°,-151.23°,2.20928
07:55,25.41°,60.64°,29.36°,-150.64°,2.10527
08:00,26.46°,60.03°,29.97°,-150.03°,2.00955
08:05,27.50°,59.40°,30.60°,-149.40°,1.92114
08:10,28.53°,58.75°,31.25°,-148.75°,1.83922
08:15,29.56°,58.08°,31.92°,-148.08°,1.76309
08:20,30.58°,57.38°,32.62°,-147.38°,1.69213
08:25,31.59°,56.67°,33.33°,-146.67°,1.62583
08:30,32.60°,55.93°,34.07°,-145.93°,1.56373
08:35,33.59°,55.16°,34.84°,-145.16°,1.50546
08:40,34.58°,54.37°,35.63°,-144.37°,1.45066
08:45,35.56°,53.55°,36.45°,-143.55°,1.39903
08:50,36.52°,52.70°,37.30°,-142.70°,1.35032
08:55,37.48°,51.83°,38.17°,-141.83°,1.30430
09:00,38.42°,50.92°,39.08°,-140.92°,1.26076
09:05,39.35°,49.98°,40.02°,-139.98°,1.21953
09:10,40.27°,49.00°,41.00°,-139.00°,1.18043
09:15,41.17°,48.00°,42.00°,-138.00°,1.14334
09:20,42.06°,46.95°,43.05°,-136.95°,1.10813
09:25,42.94°,45.87°,44.13°,-135.87°,1.07468
09:30,43.80°,44.74°,45.26°,-134.74°,1.04290
