Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,0.17°,69.67°,20.33°,-159.67°,328.83957
06:05,1.15°,69.35°,20.65°,-159.35°,49.61691
06:10,2.19°,69.02°,20.98°,-159.02°,26.17622
06:15,3.25°,68.68°,21.32°,-158.68°,17.60097
06:20,4.33°,68.34°,21.66°,-158.34°,13.19958
06:25,5.42°,67.98°,22.02°,-157.98°,10.53213
06:30,6.52°,67.61°,22.39°,-157.61°,8.74917
06:35,7.62°,67.24°,22.76°,-157.24°,7.47565
06:40,8.72°,66.85°,23.15°,-156.85°,6.52110
06:45,9.82°,66.45°,23.55°,-156.45°,5.77923
06:50,10.91°,66.04°,23.96°,-156.04°,5.18608
06:55,12.01°,65.62°,24.38°,-155.62°,4.70094
07:00,13.10°,65.19°,24.81°,-155.19°,4.29667
07:05,14.19°,64.75°,25.25°,-154.75°,3.95450
07:10,15.28°,64.29°,25.71°,-154.29°,3.66104
07:15,16.36°,63.82°,26.18°,-153.82°,3.40648
07:20,17.44°,63.34°,26.66°,-153.34°,3.18347
07:25,18.51°,62.84°,27.16°,-152.84°,2.98642
07:30,19.58°,62.33°,27.67°,-152.33°,2.81098
07:35,20.65°,61.80°,28.20°,-151.80°,2.65371
07:40,21.71°,61.26°,28.74°,-151.26°,2.51188
07:45,22.76°,60.70°,29.30°,-150.70°,2.38327
07:50,23.81°,60.12°,29.88°,-150.12°,2.26608
07:55,24.85°,59.53°,30.47°,-149.53°,2.15882
08:00,25.89°,58.92°,31.08°,-148.92°,2.06025
08:05,26.92°,58.28°,31.72°,-148.28°,1.96934
08:10,27.94°,57.63°,32.37°,-147.63°,1.88519
08:15,28.96°,56.96°,33.04°,-146.96°,1.80708
08:20,29.97°,56.26°,33.74°,-146.26°,1.73436
08:25,30.97°,55.55°,34.45°,-145.55°,1.66649
08:30,31.96°,54.80°,35.20°,-144.80°,1.60299
08:35,32.94°,54.04°,35.96°,-144.04°,1.54345
08:40,33.91°,53.24°,36.76°,-143.24°,1.48752
08:45,34.87°,52.42°,37.58°,-142.42°,1.43489
08:50,35.82°,51.58°,38.42°,-141.58°,1.38527
08:55,36.76°,50.70°,39.30°,-140.70°,1.33844
09:00,37.69°,49.79°,40.21°,-139.79°,1.29417
09:05,38.61°,48.86°,41.14°,-138.86°,1.25228
09:10,39.51°,47.88°,42.12°,-137.88°,1.21260
09:15,40.40°,46.88°,43.12°,-136.88°,1.17499
09:20,41.27°,45.84°,44.16°,-135.84°,1.13932
09:25,42.13°,44.76°,45.24°,-134.76°,1.10547
09:30,42.97°,43.65°,46.35°,-133.65°,1.07334
09:35,43.80°,42.49°,47.51°,-132.49°,1.04283
09:40,44.61°,41.30°,48.70°,-131.30°,1.01387
09:45,45.39°,40.06°,49.94°,-130.06°,0.98639
09:50,46.16°,38.78°,51.22°,-128.78°,0.96032
09:55,46.91°,37.46°,52.54°,-127.46°,0.93562
10:00,47.63°,36.09°,53.91°,-126.09°,0.91222
10:05,48.33°,34.68°,55.32°,-124.68°,0.89010
10:10,49.00°,33.22°,56.78°,-123.22°,0.86922
10:15,49.65°,31.72°,58.28°,-121.72°,0.84955
10:20,50.27°,30.16°,59.84°,-120.16°,0.83106
10:25,50.86°,28.56°,61.44°,-118.56°,0.81373
10:30,51.43°,26.92°,63.08°,-116.92°,0.79755
10:35,51.96°,25.22°,64.78°,-115.22°,0.78250
10:40,52.45°,23.48°,66.52°,-113.48°,0.76858
10:45,52.92°,21.70°,68.30°,-111.70°,0.75578
10:50,53.35°,19.87°,70.13°,-109.87°,0.74409
10:55,53.74°,18.01°,71.99°,-108.01°,0.73351
11:00,54.09°,16.10°,73.90°,-106.10°,0.72404
11:05,54.41°,14.16°,75.84°,-104.16°,0.71569
11:10,54.68°,12.19°,77.81°,-102.19°,0.70845
11:15,54.92°,10.19°,79.81°,-100.19°,0.70232
11:20,55.11°,8.17°,81.83°,-98.17°,0.69731
11:25,55.26°,6.12°,83.88°,-96.12°,0.69342
11:30,55.37°,4.06°,85.94°,-94.06°,0.69065
11:35,55.43°,1.99°,88.01°,-91.99°,0.68901
11:40,55.45°,-0.08°,90.08°,-89.92°,0.68849
11:45,55.43°,-2.15°,92.15°,-87.85°,0.68909
11:50,55.36°,-4.22°,94.22°,-85.78°,0.69082
11:55,55.25°,-6.28°,96.28°,-83.72°,0.69368
12:00,55.10°,-8.32°,98.32°,-81.68°,0.69765
12:05,54.90°,-10.34°,100.34°,-79.66°,0.70275
12:10,54.66°,-12.34°,102.34°,-77.66°,0.70896
12:15,54.39°,-14.31°,104.31°,-75.69°,0.71628
12:20,54.07°,-16.25°,106.25°,-73.75°,0.72472
12:25,53.71°,-18.15°,108.15°,-71.85°,0.73428
12:30,53.32°,-20.01°,110.01°,-69.99°,0.74494
12:35,52.88°,-21.84°,111.84°,-68.16°,0.75671
12:40,52.42°,-23.62°,113.62°,-66.38°,0.76960
12:45,51.92°,-25.35°,115.35°,-64.65°,0.78361
12:50,51.38°,-27.04°,117.04°,-62.96°,0.79874
12:55,50.82°,-28.69°,118.69°,-61.31°,0.81500
13:00,50.23°,-30.28°,120.28°,-59.72°,0.83242
13:05,49.60°,-31.83°,121.83°,-58.17°,0.85100
13:10,48.95°,-33.33°,123.33°,-56.67°,0.87076
13:15,48.28°,-34.79°,124.79°,-55.21°,0.89174
13:20,47.57°,-36.20°,126.20°,-53.80°,0.91395
13:25,46.85°,-37.56°,127.56°,-52.44°,0.93745
13:30,46.10°,-38.88°,128.88°,-51.12°,0.96225
13:35,45.33°,-40.16°,130.16°,-49.84°,0.98843
13:40,44.54°,-41.39°,131.39°,-48.61°,1.01602
13:45,43.74°,-42.58°,132.58°,-47.42°,1.04509
13:50,42.91°,-43.73°,133.73°,-46.27°,1.07572
13:55,42.07°,-44.84°,134.84°,-45.16°,1.10798
14:00,41.21°,-45.92°,135.92°,-44.08°,1.14196
14:05,40.33°,-46.96°,136.96°,-43.04°,1.17778
14:10,39.44°,-47.96°,137.96°,-42.04°,1.21554
14:15,38.54°,-48.93°,138.93°,-41.07°,1.25538
14:20,37.62°,-49.86°,139.86°,-40.14°,1.29744
14:25,36.69°,-50.77°,140.77°,-39.23°,1.34190
14:30,35.75°,-51.64°,141.64°,-38.36°,1.38894
14:35,34.80°,-52.49°,142.49°,-37.51°,1.43877
14:40,33.84°,-53.30°,143.30°,-36.70°,1.49165
14:45,32.86°,-54.10°,144.10°,-35.90°,1.54784
14:50,31.88°,-54.86°,144.86°,-35.14°,1.60766
14:55,30.89°,-55.60°,145.60°,-34.40°,1.67148
15:00,29.89°,-56.32°,146.32°,-33.68°,1.73970
15:05,28.88°,-57.01°,147.01°,-32.99°,1.81281
15:10,27.87°,-57.68°,147.68°,-32.32°,1.89136
15:15,26.84°,-58.33°,148.33°,-31.67°,1.97599
15:20,25.81°,-58.96°,148.96°,-31.04°,2.06745
15:25,24.78°,-59.58°,149.58°,-30.42°,2.16664
15:30,23.73°,-60.17°,150.17°,-29.83°,2.27461
15:35,22.68°,-60.74°,150.74°,-29.26°,2.39261
15:40,21.63°,-61.30°,151.30°,-28.70°,2.52215
15:45,20.57°,-61.84°,151.84°,-28.16°,2.66507
15:50,19.50°,-62.37°,152.37°,-27.63°,2.82361
15:55,18.43°,-62.88°,152.88°,-27.12°,3.00057
16:00,17.36°,-63.38°,153.38°,-26.62°,3.19942
16:05,16.28°,-63.86°,153.86°,-26.14°,3.42460
16:10,15.20°,-64.33°,154.33°,-25.67°,3.68184
