Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,0.23°,69.88°,20.12°,-159.88°,247.32627
06:05,1.22°,69.56°,20.44°,-159.56°,47.05307
06:10,2.25°,69.23°,20.77°,-159.23°,25.39820
06:15,3.32°,68.89°,21.11°,-158.89°,17.22926
06:20,4.40°,68.54°,21.46°,-158.54°,12.98154
06:25,5.50°,68.18°,21.82°,-158.18°,10.38799
06:30,6.60°,67.82°,22.18°,-157.82°,8.64642
06:35,7.70°,67.44°,22.56°,-157.44°,7.39827
06:40,8.80°,67.05°,22.95°,-157.05°,6.46042
06:45,9.90°,66.66°,23.34°,-156.66°,5.73012
06:50,11.00°,66.25°,23.75°,-156.25°,5.14534
06:55,12.10°,65.83°,24.17°,-155.83°,4.66645
07:00,13.19°,65.40°,24.60°,-155.40°,4.26697
07:05,14.28°,64.95°,25.05°,-154.95°,3.92856
07:10,15.37°,64.50°,25.50°,-154.50°,3.63810
07:15,16.45°,64.03°,25.97°,-154.03°,3.38597
07:20,17.53°,63.54°,26.46°,-153.54°,3.16498
07:25,18.61°,63.05°,26.95°,-153.05°,2.96960
07:30,19.68°,62.54°,27.46°,-152.54°,2.79557
07:35,20.75°,62.01°,27.99°,-152.01°,2.63950
07:40,21.81°,61.47°,28.53°,-151.47°,2.49869
07:45,22.87°,60.91°,29.09°,-150.91°,2.37097
07:50,23.92°,60.33°,29.67°,-150.33°,2.25456
07:55,24.96°,59.74°,30.26°,-149.74°,2.14797
08:00,26.00°,59.13°,30.87°,-149.13°,2.04999
08:05,27.04°,58.49°,31.51°,-148.49°,1.95960
08:10,28.06°,57.84°,32.16°,-147.84°,1.87592
08:15,29.08°,57.17°,32.83°,-147.17°,1.79821
08:20,30.09°,56.47°,33.53°,-146.47°,1.72586
08:25,31.09°,55.75°,34.25°,-145.75°,1.65831
08:30,32.08°,55.01°,34.99°,-145.01°,1.59511
08:35,33.07°,54.25°,35.75°,-144.25°,1.53583
08:40,34.04°,53.45°,36.55°,-143.45°,1.48014
08:45,35.01°,52.63°,37.37°,-142.63°,1.42771
08:50,35.96°,51.79°,38.21°,-141.79°,1.37829
08:55,36.91°,50.91°,39.09°,-140.91°,1.33162
09:00,37.84°,50.00°,40.00°,-140.00°,1.28751
09:05,38.75°,49.06°,40.94°,-139.06°,1.24576
09:10,39.66°,48.09°,41.91°,-138.09°,1.20620
09:15,40.55°,47.09°,42.91°,-137.09°,1.16870
09:20,41.43°,46.04°,43.96°,-136.04°,1.13313
09:25,42.29°,44.97°,45.03°,-134.97°,1.09937
09:30,43.14°,43.85°,46.15°,-133.85°,1.06731
09:35,43.96°,42.69°,47.31°,-132.69°,1.03687
09:40,44.77°,41.50°,48.50°,-131.50°,1.00797
09:45,45.56°,40.26°,49.74°,-130.26°,0.98054
09:50,46.33°,38.98°,51.02°,-128.98°,0.95452
09:55,47.08°,37.65°,52.35°,-127.65°,0.92985
10:00,47.81°,36.28°,53.72°,-126.28°,0.90649
10:05,48.51°,34.86°,55.14°,-124.86°,0.88440
10:10,49.19°,33.40°,56.60°,-123.40°,0.86354
10:15,49.84°,31.88°,58.12°,-121.88°,0.84388
10:20,50.46°,30.33°,59.67°,-120.33°,0.82541
10:25,51.06°,28.72°,61.28°,-118.72°,0.80809
10:30,51.62°,27.06°,62.94°,-117.06°,0.79192
10:35,52.16°,25.36°,64.64°,-115.36°,0.77687
10:40,52.66°,23.61°,66.39°,-113.61°,0.76296
10:45,53.12°,21.82°,68.18°,-111.82°,0.75015
10:50,53.56°,19.99°,70.01°,-109.99°,0.73846
10:55,53.95°,18.11°,71.89°,-108.11°,0.72789
11:00,54.31°,16.19°,73.81°,-106.19°,0.71842
11:05,54.62°,14.24°,75.76°,-104.24°,0.71006
11:10,54.90°,12.26°,77.74°,-102.26°,0.70282
11:15,55.14°,10.24°,79.76°,-100.24°,0.69669
11:20,55.33°,8.20°,81.80°,-98.20°,0.69169
11:25,55.48°,6.15°,83.85°,-96.15°,0.68780
11:30,55.59°,4.07°,85.93°,-94.07°,0.68504
11:35,55.65°,1.99°,88.01°,-91.99°,0.68340
11:40,55.67°,-0.10°,90.10°,-89.90°,0.68289
11:45,55.65°,-2.19°,92.19°,-87.81°,0.68350
11:50,55.58°,-4.27°,94.27°,-85.73°,0.68525
11:55,55.47°,-6.34°,96.34°,-83.66°,0.68811
12:00,55.31°,-8.40°,98.40°,-81.60°,0.69211
12:05,55.12°,-10.43°,100.43°,-79.57°,0.69722
12:10,54.88°,-12.44°,102.44°,-77.56°,0.70345
12:15,54.60°,-14.42°,104.42°,-75.58°,0.71079
12:20,54.27°,-16.37°,106.37°,-73.63°,0.71925
12:25,53.91°,-18.28°,108.28°,-71.72°,0.72882
12:30,53.52°,-20.16°,110.16°,-69.84°,0.73951
12:35,53.08°,-21.99°,111.99°,-68.01°,0.75130
12:40,52.61°,-23.78°,113.78°,-66.22°,0.76421
12:45,52.11°,-25.52°,115.52°,-64.48°,0.77823
12:50,51.57°,-27.22°,117.22°,-62.78°,0.79337
12:55,51.00°,-28.87°,118.87°,-61.13°,0.80965
13:00,50.41°,-30.47°,120.47°,-59.53°,0.82708
13:05,49.78°,-32.03°,122.03°,-57.97°,0.84566
13:10,49.13°,-33.53°,123.53°,-56.47°,0.86543
13:15,48.45°,-34.99°,124.99°,-55.01°,0.88640
13:20,47.74°,-36.41°,126.41°,-53.59°,0.90861
13:25,47.01°,-37.77°,127.77°,-52.23°,0.93209
13:30,46.26°,-39.10°,129.10°,-50.90°,0.95689
