Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,-0.67°,68.08°,21.92°,-158.08°,--
06:05,0.58°,67.77°,22.23°,-157.77°,98.46694
06:10,1.58°,67.44°,22.56°,-157.44°,36.36171
06:15,2.61°,67.11°,22.89°,-157.11°,21.93503
06:20,3.67°,66.76°,23.24°,-156.76°,15.59676
06:25,4.74°,66.41°,23.59°,-156.41°,12.06134
06:30,5.82°,66.04°,23.96°,-156.04°,9.81194
06:35,6.90°,65.67°,24.33°,-155.67°,8.26104
06:40,7.99°,65.29°,24.71°,-155.29°,7.12804
06:45,9.07°,64.89°,25.11°,-154.89°,6.26451
06:50,10.15°,64.48°,25.52°,-154.48°,5.58464
06:55,11.23°,64.06°,25.94°,-154.06°,5.03547
07:00,12.31°,63.63°,26.37°,-153.63°,4.58254
07:05,13.38°,63.19°,26.81°,-153.19°,4.20251
07:10,14.46°,62.74°,27.26°,-152.74°,3.87898
07:15,15.52°,62.27°,27.73°,-152.27°,3.60014
07:20,16.59°,61.78°,28.22°,-151.78°,3.35724
07:25,17.65°,61.29°,28.71°,-151.29°,3.14368
07:30,18.70°,60.78°,29.22°,-150.78°,2.95438
07:35,19.75°,60.25°,29.75°,-150.25°,2.78537
07:40,20.79°,59.71°,30.29°,-149.71°,2.63351
07:45,21.83°,59.15°,30.85°,-149.15°,2.49626
07:50,22.86°,58.57°,31.43°,-148.57°,2.37158
07:55,23.89°,57.98°,32.02°,-147.98°,2.25778
08:00,24.91°,57.36°,32.64°,-147.36°,2.15348
08:05,25.92°,56.73°,33.27°,-146.73°,2.05751
08:10,26.93°,56.08°,33.92°,-146.08°,1.96890
08:15,27.92°,55.41°,34.59°,-145.41°,1.88681
08:20,28.91°,54.71°,35.29°,-144.71°,1.81055
08:25,29.89°,54.00°,36.00°,-144.00°,1.73952
08:30,30.87°,53.26°,36.74°,-143.26°,1.67318
08:35,31.83°,52.49°,37.51°,-142.49°,1.61110
08:40,32.78°,51.70°,38.30°,-141.70°,1.55288
08:45,33.72°,50.89°,39.11°,-140.89°,1.49818
08:50,34.65°,50.05°,39.95°,-140.05°,1.44670
08:55,35.57°,49.17°,40.83°,-139.17°,1.39818
09:00,36.48°,48.28°,41.72°,-138.28°,1.35240
09:05,37.37°,47.35°,42.65°,-137.35°,1.30914
09:10,38.26°,46.38°,43.62°,-136.38°,1.26822
09:15,39.12°,45.39°,44.61°,-135.39°,1.22949
09:20,39.97°,44.36°,45.64°,-134.36°,1.19281
09:25,40.81°,43.30°,46.70°,-133.30°,1.15805
09:30,41.63°,42.21°,47.79°,-132.21°,1.12510
09:35,42.43°,41.07°,48.93°,-131.07°,1.09386
09:40,43.22°,39.90°,50.10°,-129.90°,1.06424
09:45,43.98°,38.69°,51.31°,-128.69°,1.03617
09:50,44.73°,37.44°,52.56°,-127.44°,1.00958
09:55,45.45°,36.15°,53.85°,-126.15°,0.98440
10:00,46.15°,34.82°,55.18°,-124.82°,0.96059
10:05,46.83°,33.45°,56.55°,-123.45°,0.93811
10:10,47.48°,32.03°,57.97°,-122.03°,0.91690
10:15,48.11°,30.57°,59.43°,-120.57°,0.89694
10:20,48.71°,29.07°,60.93°,-119.07°,0.87820
10:25,49.28°,27.53°,62.47°,-117.53°,0.86065
10:30,49.83°,25.94°,64.06°,-115.94°,0.84428
10:35,50.34°,24.32°,65.68°,-114.32°,0.82906
10:40,50.82°,22.65°,67.35°,-112.65°,0.81498
10:45,51.27°,20.94°,69.06°,-110.94°,0.80204
10:50,51.68°,19.20°,70.80°,-109.20°,0.79022
10:55,52.06°,17.41°,72.59°,-107.41°,0.77952
11:00,52.41°,15.60°,74.40°,-105.60°,0.76993
11:05,52.71°,13.75°,76.25°,-103.75°,0.76146
11:10,52.98°,11.88°,78.12°,-101.88°,0.75410
11:15,53.21°,9.98°,80.02°,-99.98°,0.74785
11:20,53.40°,8.06°,81.94°,-98.06°,0.74271
11:25,53.55°,6.12°,83.88°,-96.12°,0.73868
11:30,53.66°,4.17°,85.83°,-94.17°,0.73576
11:35,53.72°,2.21°,87.79°,-92.21°,0.73395
11:40,53.75°,0.24°,89.76°,-90.24°,0.73326
11:45,53.73°,-1.73°,91.73°,-88.27°,0.73368
11:50,53.68°,-3.69°,93.69°,-86.31°,0.73521
11:55,53.58°,-5.64°,95.64°,-84.36°,0.73786
12:00,53.44°,-7.59°,97.59°,-82.41°,0.74162
12:05,53.26°,-9.51°,99.51°,-80.49°,0.74649
